"tract","population","median_household_income","non_hispanic_white_alone","osm_2020","osm_2023","sdp"
"5123.05",4646,184800,2103,13,18,44
"5123.07",7134,146400,3518,90,97,69
"5123.08",8415,194583,4657,101,104,84
"5123.09",5164,170735,3257,46,49,37
"5123.10",5470,88253,1563,76,103,173
"5123.11",4216,136108,1302,100,120,181
"5123.12",3499,169583,1570,32,33,18
"5123.13",3779,104798,1050,135,147,108
"5123.14",7182,92974,2886,177,199,196
"5124.01",4298,113289,2036,38,46,65
"5124.02",5601,132234,2354,54,58,40
"5125.05",8166,99444,1608,39,52,65
"5125.09",7826,155833,1756,31,46,15
"5125.10",6979,111400,2596,46,47,71
"5125.11",4878,93786,1659,13,81,51
"5125.12",3733,80113,1211,9,13,15
"5125.13",4081,95186,537,68,77,154
"5125.14",3249,119375,497,10,11,23
"5125.15",5110,161903,2582,9,10,9
"5125.16",4298,139949,1637,8,8,5
"5126.02",2748,111585,1201,382,397,313
"5126.03",4165,72267,414,186,197,238
"5126.04",4896,86417,469,68,84,170
"5130",9829,48507,4399,330,357,304
"5135",1266,128854,637,175,185,60
